track_id	song_id	artist_confidence	track_confidence
38243813	0	100	100
26888803	1	100	31
45545964	2	100	18
10762524	4	100	15
31390820	5	100	26
22391505	6	100	47
22546964	7	100	37
13147247	8	100	40
39407985	9	100	34
23019929	10	100	32
4507146	11	100	25
5981854	12	100	50
9877766	13	100	8
26862147	16	100	44
4268758	17	100	11
39917777	18	100	78
2162730	20	100	26
39317525	21	100	59
2162732	22	100	35
10781718	23	100	56
6990895	24	100	44
14541129	25	100	38
35520267	26	100	30
40447060	27	100	22
33993290	28	100	76
18714849	29	100	37
23026064	30	100	13
15051121	31	100	15
6928462	32	100	88
15573159	33	100	57
45544345	35	100	4
22391523	36	100	68
5995943	37	100	57
7201831	38	100	16
5564010	41	100	46
38965173	43	100	18
20765352	44	100	33
42609348	45	100	56
15803293	46	100	27
60509	49	100	10
28789646	51	100	35
32497634	52	100	56
20486117	19107	100	24
40629604	57	100	44
18546766	59	100	32
43407115	61	100	47
15986447	62	100	68
22391804	63	100	22
31615441	65	100	35
5869069	66	100	38
44292024	70	100	17
28924636	71	100	26
11417524	74	100	30
21585947	77	100	24
32779034	79	100	24
6829053	81	100	27
16687020	82	100	24
49699832	83	25	62
8099807	86	100	37
18714235	88	100	33
21307303	89	100	39
17507710	91	100	100
3539879	97	100	40
36296418	98	100	39
258705	101	100	94
4626353	102	53	46
34775354	103	100	35
16384129	105	100	22
26414454	106	100	40
45464162	107	100	49
11385343	108	100	47
2066308	110	100	16
8107556	111	100	51
5600967	113	100	49
30135697	115	100	31
142405	116	100	53
10300723	117	100	67
29499699	118	100	30
30668653	120	100	36
35217258	121	100	30
9027652	122	100	46
45584930	123	100	16
10097166	124	100	47
41093792	125	100	21
43799006	126	100	18
33617326	130	100	38
5679931	133	52	17
22391496	136	100	45
19353656	137	100	53
41979757	138	100	26
44223003	139	100	22
6905685	140	100	62
35217300	144	100	57
28982361	197	100	70
6189109	147	100	36
9027757	150	100	55
15327051	151	100	47
32148468	152	100	27
